; 1 0 0
1 1901 1 1 0 0 0
1 1901 1 1 0 5 0
1 1901 1 1 0 10 0
1 1901 1 1 0 15 0
1 1901 1 1 0 20 0
1 1901 1 1 0 25 0
1 1901 1 1 0 30 0
1 1901 1 1 0 35 0
1 1901 1 1 0 40 0
1 1901 1 1 0 45 0
1 1901 1 1 0 50 0
1 1901 1 1 0 55 0
1 1901 1 1 1 0 0
1 1901 1 1 1 5 0
1 1901 1 1 1 10 0
1 1901 1 1 1 15 0
1 1901 1 1 1 20 0
1 1901 1 1 1 25 0
1 1901 1 1 1 30 0.0825006530256857
1 1901 1 1 1 35 0.0825006530256857
1 1901 1 1 1 40 0.0825006530256857
1 1901 1 1 1 45 0.0825006530256857
1 1901 1 1 1 50 0.0825006530256857
1 1901 1 1 1 55 0.0825006530256857
1 1901 1 1 2 0 0.0825006530256857
1 1901 1 1 2 5 0.108900861993905
1 1901 1 1 2 10 0.108900861993905
1 1901 1 1 2 15 0.108900861993905
1 1901 1 1 2 20 0.108900861993905
1 1901 1 1 2 25 0.108900861993905
1 1901 1 1 2 30 0.108900861993905
1 1901 1 1 2 35 0.108900861993905
1 1901 1 1 2 40 0.108900861993905
1 1901 1 1 2 45 0.108900861993905
1 1901 1 1 2 50 0.108900861993905
1 1901 1 1 2 55 0.108900861993905
1 1901 1 1 3 0 0.108900861993905
1 1901 1 1 3 5 0.108900861993905
1 1901 1 1 3 10 0.108900861993905
1 1901 1 1 3 15 0.108900861993905
1 1901 1 1 3 20 0.108900861993905
1 1901 1 1 3 25 0.108900861993905
1 1901 1 1 3 30 0.108900861993905
1 1901 1 1 3 35 0.108900861993905
1 1901 1 1 3 40 0.108900861993905
1 1901 1 1 3 45 0.108900861993905
1 1901 1 1 3 50 0.108900861993905
1 1901 1 1 3 55 0.108900861993905
1 1901 1 1 4 0 0.108900861993905
1 1901 1 1 4 5 0.148501175446234
1 1901 1 1 4 10 0.148501175446234
1 1901 1 1 4 15 0.148501175446234
1 1901 1 1 4 20 0.148501175446234
1 1901 1 1 4 25 0.148501175446234
1 1901 1 1 4 30 0.148501175446234
1 1901 1 1 4 35 0.148501175446234
1 1901 1 1 4 40 0.148501175446234
1 1901 1 1 4 45 0.148501175446234
1 1901 1 1 4 50 0.148501175446234
1 1901 1 1 4 55 0.148501175446234
1 1901 1 1 5 0 0.148501175446234
1 1901 1 1 5 5 0.148501175446234
1 1901 1 1 5 10 0.148501175446234
1 1901 1 1 5 15 0.148501175446234
1 1901 1 1 5 20 0.148501175446234
1 1901 1 1 5 25 0.148501175446234
1 1901 1 1 5 30 0.148501175446234
1 1901 1 1 5 35 0.148501175446234
1 1901 1 1 5 40 0.148501175446234
1 1901 1 1 5 45 0.148501175446234
1 1901 1 1 5 50 0.148501175446234
1 1901 1 1 5 55 0.148501175446234
1 1901 1 1 6 0 0.148501175446234
1 1901 1 1 6 5 0.2046016195037
1 1901 1 1 6 10 0.2046016195037
1 1901 1 1 6 15 0.2046016195037
1 1901 1 1 6 20 0.2046016195037
1 1901 1 1 6 25 0.2046016195037
1 1901 1 1 6 30 0.2046016195037
1 1901 1 1 6 35 0.2046016195037
1 1901 1 1 6 40 0.2046016195037
1 1901 1 1 6 45 0.2046016195037
1 1901 1 1 6 50 0.2046016195037
1 1901 1 1 6 55 0.2046016195037
1 1901 1 1 7 0 0.2046016195037
1 1901 1 1 7 5 2.14845450587723
1 1901 1 1 7 10 1.20313452329125
1 1901 1 1 7 15 0.923835437527209
1 1901 1 1 7 20 0.518104101001306
1 1901 1 1 7 25 0.518104101001306
1 1901 1 1 7 30 0.518104101001306
1 1901 1 1 7 35 0.518104101001306
